0	0	1.5
32	0	1.5
64	0	1.5
96	0	1.5
144	0	1.5
50	1	1.5
98	1	1.5
130	1	1.5
4	2	1.5
84	2	1.5
6	3	1.5
70	3	1.5
118	3	1.5
8	4	1.5
40	4	1.5
104	4	1.5
10	5	1.5
42	5	1.5
138	5	1.5
44	6	1.5
92	6	1.5
140	6	1.5
14	7	1.5
62	7	1.5
110	7	1.5
16	8	1.5
64	8	1.5
144	8	1.5
50	9	1.5
114	9	1.5
146	9	#96D5DB
52	10	1.5
100	10	1.5
132	10	1.5
22	11	1.5
102	11	1.5
150	11	2
56	12	1.5
120	12	1.5
10	13	1.5
42	13	1.5
74	13	1.5
138	13	#A5C99B
44	14	1.5
124	14	#9ADCE2
14	15	1.5
94	15	1.5
126	15	#97B792
32	16	1.5
64	16	1.5
112	16	#9EE3E9
18	17	1.5
66	17	1.5
146	17	2
20	18	1.5
68	18	1.5
132	18	2
22	19	1.5
102	19	#8FC3C2
150	19	2
40	20	1.5
88	20	1.5
10	21	1.5
42	21	1.5
74	21	1.5
12	22	1.5
44	22	1.5
108	22	2
14	23	1.5
46	23	1.5
94	23	2
142	23	2
64	24	#9EE3E9
112	24	2
18	25	1.5
98	25	2
146	25	2
20	26	1.5
52	26	#96D5DB
148	26	2
22	27	1.5
54	27	#96B693
118	27	2
24	28	#96D6DB
88	28	2
136	28	2
26	29	#92B395
90	29	2
12	30	#A3C599
44	30	2
76	30	2
140	30	2
62	31	2
110	31	2
0	32	2
64	32	2
96	32	2
144	32	#A4C99B
50	33	2
98	33	2
130	33	2
36	34	2
148	34	#C9C59C
22	35	2
54	35	2
150	35	2.8
24	36	2
72	36	2
104	36	2
42	37	2
74	37	2
122	37	#C7C39A
28	38	2
76	38	2
140	38	2.8
14	39	2
78	39	#A4C99B
0	40	2
32	40	2
96	40	2.8
2	41	2
50	41	2
98	41	2.8
146	41	2.8
52	42	#A0C398
116	42	2.8
6	43	#A5C99C
38	43	#9FC197
86	43	2.8
8	44	#9DBC94
40	44	#A9AC8A
136	44	2.8
26	45	#BCB893
90	45	2.8
122	45	2.8
44	46	2.8
76	46	2.8
108	46	2.8
14	47	2.8
78	47	2.8
142	47	#E97589
16	48	2.8
96	48	2.8
144	48	3.3
18	49	2.8
82	49	2.8
130	49	#EB768B
52	50	2.8
84	50	2.8
6	51	2.8
70	51	2.8
102	51	#C17A7F
8	52	2.8
40	52	2.8
104	52	#EB768B
136	52	3.3
26	53	2.8
90	53	#E87489
12	54	2.8
76	54	#DF7386
124	54	3.3
30	55	#C0BD96
78	55	3.3
110	55	3.3
0	56	#CD7783
32	56	#C17A7F
2	57	#EB768B
34	57	#EB768A
82	57	3.3
146	57	3.3
20	58	3.3
68	58	3.3
100	58	3.3
22	59	3.3
70	59	3.3
24	60	3.3
72	60	3.3
120	60	3.3
152	60	#E5EB76
42	61	3.3
106	61	3.3
138	61	#CB797B
12	62	3.3
76	62	3.3
30	63	3.3
62	63	3.3
110	63	3.3
0	64	3.3
48	64	3.3
128	64	#DEE474
2	65	3.3
34	65	3.3
114	65	#C28676
36	66	3.3
84	66	3.3
132	66	4.1
38	67	3.3
70	67	3.3
102	67	#C6BC70
8	68	#EA768A
72	68	#EA758A
104	68	#E5EB76
10	69	#E27387
122	69	4.1
154	69	4.1
28	70	#C67D76
108	70	4.1
140	70	4.1
46	71	#DBE175
78	71	4.1
16	72	4.1
48	72	4.1
96	72	4.1
2	73	4.1
50	73	4.1
82	73	4.1
130	73	4.1
36	74	4.1
116	74	4.1
22	75	4.1
70	75	4.1
134	75	4.1
24	76	4.1
72	76	4.1
104	76	4.1
26	77	4.1
74	77	4.1
122	77	4.1
12	78	4.1
60	78	4.1
140	78	4.1
14	79	4.1
94	79	4.1
